candidate_id,rank,score,reasoning
CAND_0046525,1,1.000000,"High confidence - Senior Machine Learning Engineer, 6.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (88%)."
CAND_0064326,2,0.979030,"High confidence - Search Engineer, 7.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (94%)."
CAND_0041669,3,0.975148,"High confidence - Recommendation Systems Engineer, 8.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (77%)."
CAND_0018499,4,0.974948,"High confidence - Senior Machine Learning Engineer, 7.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (61%)."
CAND_0079064,5,0.951794,"High confidence - Senior Data Scientist, 5.2 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (91%)."
CAND_0010257,6,0.943352,"High confidence - Senior Data Scientist, 6.5 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Noida, Uttar Pradesh-based, responsive to recruiters (72%)."
CAND_0027691,7,0.937164,"High confidence - NLP Engineer, 6.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (68%)."
CAND_0077337,8,0.919401,"High confidence - Staff Machine Learning Engineer, 7.0 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (95%)."
CAND_0000031,9,0.910235,"High confidence - Recommendation Systems Engineer, 6.0 yrs; demonstrated retrieval/ranking, embeddings and ranking evaluation (NDCG/MRR/A-B); Hyderabad, Telangana-based, responsive to recruiters (91%)."
CAND_0083879,10,0.909603,"High confidence - Machine Learning Engineer, 7.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based."
CAND_0075574,11,0.908852,"High confidence - Machine Learning Engineer, 5.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Bangalore, Karnataka-based."
CAND_0039383,12,0.906439,"High confidence - Applied ML Engineer, 7.1 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Gurgaon, Haryana-based, responsive to recruiters (61%)."
CAND_0007009,13,0.903596,"High confidence - Recommendation Systems Engineer, 7.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Noida, Uttar Pradesh-based, responsive to recruiters (62%)."
CAND_0081846,14,0.902668,"High confidence - Lead AI Engineer, 6.7 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (73%)."
CAND_0052328,15,0.888331,"High confidence - Recommendation Systems Engineer, 6.5 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Pune, Maharashtra-based, responsive to recruiters (79%)."
CAND_0069905,16,0.877992,"High confidence - Applied ML Engineer, 6.6 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; open to relocation, responsive to recruiters (78%)."
CAND_0037566,17,0.875992,"High confidence - Machine Learning Engineer, 6.9 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Bangalore, Karnataka-based."
CAND_0005649,18,0.875424,"High confidence - Senior Data Scientist, 7.4 yrs; demonstrated retrieval/ranking, embeddings and vector search / hybrid search; Delhi, Delhi-based."
